Num seq;repeticiones
5023;4;-39.75
5024;5;-42.00
5025;6;-31.83
5026;6;-31.33
5027;6;-31.33
5028;5;-31.40
5029;6;-32.00
5030;7;-32.29
5031;7;-32.29
5032;5;-33.00
5033;7;-32.00
5034;6;-40.67
5035;7;-33.14
5036;3;-33.00
5037;7;-40.00
5038;7;-39.43
5039;6;-40.83
5040;5;-31.60
5041;6;-32.33
5042;7;-32.14
5043;7;-32.00
5044;7;-31.86
5045;4;-33.25
5046;6;-41.33
5047;7;-31.86
5048;7;-32.43
5049;6;-32.00
5050;3;-31.00
5051;7;-31.57
5052;6;-40.67
5053;7;-39.57
5054;4;-33.00
5055;6;-32.17
5056;5;-31.40
5057;7;-48.00
5058;6;-31.83
5059;7;-31.57
5060;6;-32.00
5061;7;-31.71
5062;8;-32.00
5063;4;-31.75
5064;7;-39.57
5065;6;-31.67
5066;7;-46.43
5067;4;-31.75
5068;7;-32.14
5069;7;-32.14
5070;6;-39.50
5071;6;-31.83
5072;7;-39.14
5073;3;-31.33
5074;6;-40.83
5075;5;-42.20
5076;7;-31.57
5077;5;-31.80
5078;6;-31.67
5079;8;-32.50
5080;6;-32.00
5081;7;-31.71
5082;6;-40.67
5083;6;-32.17
5084;6;-32.00
5085;5;-31.20
5086;6;-32.33
5087;5;-41.60
5088;6;-40.67
5089;7;-46.57
5090;7;-47.57
5091;5;-42.80
5092;6;-32.50
5093;7;-40.29
5094;7;-31.86
5095;5;-32.40
5096;7;-40.00
5097;6;-41.17
5098;7;-32.57
5099;5;-31.80
5100;6;-32.33
5101;7;-33.00
5102;7;-32.29
5103;6;-32.83
5104;7;-31.86
5105;4;-45.00
5106;6;-32.50
5107;6;-32.33
5108;7;-32.57
5109;4;-31.75
5110;7;-31.57
5111;7;-32.00
5112;6;-32.17
5113;4;-44.50
5114;7;-31.71
5115;6;-41.17
5116;7;-32.14
5117;7;-31.86
5118;6;-32.00
5119;6;-32.50
5120;8;-32.88
5121;5;-32.40
5122;7;-31.86
5123;7;-32.43
5124;6;-39.33
5125;5;-32.20
5126;6;-40.33
5127;7;-31.86
5128;8;-38.50
5129;3;-32.67
5130;7;-46.57
5131;6;-31.83
5132;7;-39.86
5133;7;-32.57
5134;7;-31.86
5135;7;-39.57
5136;6;-31.67
5137;7;-31.57
5138;7;-32.00
5139;4;-32.50
5140;7;-31.86
5141;5;-42.60
5142;7;-39.43
5143;6;-32.17
5144;7;-40.14
5145;5;-32.40
5146;7;-39.71
5147;7;-32.00
5148;6;-32.17
5149;7;-39.43
5150;7;-32.14
5151;6;-32.17
5152;6;-31.67
5153;6;-32.33
5154;7;-31.71
5155;6;-32.00
5156;4;-31.75
5157;7;-32.57
5158;6;-31.50
5159;7;-32.14
5160;4;-32.25
5161;7;-31.57
5162;7;-32.43
5163;6;-41.00
5164;5;-42.80
5165;6;-32.17
5166;7;-38.43
5167;7;-46.57
5168;4;-31.50
5169;7;-32.29
5170;6;-32.33
5171;7;-31.71
5172;7;-32.29
5173;6;-40.33
5174;7;-32.43
5175;6;-32.50
5176;8;-38.88
5177;3;-31.33
5178;6;-41.17
5179;7;-31.71
5180;7;-31.71
5181;5;-32.00
5182;6;-33.00
5183;6;-32.33
5184;7;-31.57
5185;7;-47.00
5186;7;-39.86
5187;7;-32.57
5188;6;-40.33
5189;7;-39.14
5190;4;-31.25
5191;7;-39.86
5192;7;-39.71
5193;5;-31.80
5194;5;-32.60
5195;7;-38.57
5196;5;-31.80
5197;7;-39.00
5198;6;-31.83
5199;7;-32.14
5200;6;-40.67
5201;8;-38.13
5202;6;-31.67
5203;7;-31.71
5204;5;-32.00
5205;6;-32.00
5206;7;-31.86
5207;6;-41.00
5208;6;-32.67
5209;7;-39.14
5210;3;-31.67
5211;7;-47.57
5212;7;-31.86
5213;6;-49.67
5214;5;-52.60
5215;6;-41.17
5216;7;-32.71
5217;6;-40.17
5218;4;-32.25
5219;6;-32.00
5220;6;-31.67
5221;7;-39.14
5222;8;-44.75
5223;7;-32.57
5224;7;-32.29
5225;6;-41.00
5226;7;-39.71
5227;4;-33.00
5228;7;-39.14
5229;7;-32.00
5230;7;-38.71
5231;6;-31.17
5232;6;-31.83
5233;7;-31.86
5234;7;-39.00
5235;3;-32.33
